nome,apelido,data_nascimento,posicao,mao
Vasco,Carvalho,1998-05-08,Lateral Esquerdo,Direita
Guilherme,Pinto,1993-02-08,Ponta Esquerda,Direita
André,Costa,2000-06-11,Central,Esquerda
Rafael,Correia,2000-10-18,Lateral Esquerdo,Direita
Gonçalo,Fonseca,2003-07-06,Ponta Esquerda,Direita
Jorge,Vieira,1995-05-11,Central,Esquerda
Hugo,Ferreira,2002-01-29,Guarda-Redes,Esquerda
Rafael,Santos,2001-02-03,Guarda-Redes,Esquerda
Rui,Gomes,2002-10-18,Lateral Esquerdo,Esquerda
Luís,Fonseca,2003-09-26,Guarda-Redes,Direita
Paulo,Rocha,2000-10-12,Central,Direita
Eduardo,Martins,1995-04-06,Ponta Direita,Direita
Paulo,Lopes,1994-09-28,Ponta Esquerda,Direita
Carlos,Nunes,1997-12-30,Central,Esquerda
Guilherme,Martins,1993-10-22,Guarda-Redes,Direita
Jorge,Silva,2002-11-18,Ponta Direita,Esquerda
Tiago,Carvalho,1998-08-25,Ponta Esquerda,Esquerda
Ricardo,Lopes,1997-09-23,Pivot,Direita
Carlos,Henriques,1994-11-04,Ponta Direita,Esquerda
Rafael,Rocha,1994-09-02,Lateral Esquerdo,Direita
Luís,Gomes,1998-11-24,Guarda-Redes,Esquerda
Nuno,Mendes,1990-12-26,Ponta Esquerda,Direita
Manuel,Cardoso,1990-05-02,Ponta Esquerda,Direita
Carlos,Rocha,1992-01-28,Guarda-Redes,Esquerda
Daniel,Fonseca,1990-07-30,Pivot,Esquerda
Diogo,Carvalho,2002-03-09,Guarda-Redes,Esquerda
Bruno,Santos,1999-08-31,Central,Direita
Diogo,Costa,1990-12-09,Lateral Esquerdo,Direita
Hugo,Silva,1990-04-14,Guarda-Redes,Direita
Daniel,Sousa,2003-05-25,Guarda-Redes,Direita
Nuno,Gomes,2002-12-22,Ponta Direita,Esquerda
Hugo,Gomes,1998-04-01,Lateral Direito,Direita
Ricardo,Ribeiro,1990-07-17,Central,Direita
João,Nunes,2002-04-28,Lateral Direito,Esquerda
Paulo,Correia,1991-02-09,Ponta Esquerda,Esquerda
Hugo,Pereira,2001-12-11,Lateral Esquerdo,Direita
Rui,Vieira,2002-03-20,Lateral Esquerdo,Direita
Fernando,Fonseca,1998-06-12,Lateral Esquerdo,Direita
Luís,Nunes,1995-09-19,Guarda-Redes,Esquerda
Gonçalo,Fernandes,1995-06-23,Ponta Esquerda,Direita
Marco,Ferreira,1992-05-02,Lateral Direito,Direita
José,Cardoso,2005-02-01,Ponta Esquerda,Direita
Luís,Carvalho,2005-01-02,Lateral Esquerdo,Esquerda
Gonçalo,Correia,1991-05-14,Central,Esquerda
Paulo,Reis,1998-09-15,Ponta Esquerda,Direita
Tiago,Guerreiro,1990-08-23,Ponta Esquerda,Direita
Hugo,Vieira,2005-11-15,Lateral Direito,Esquerda
Ricardo,Fonseca,1994-02-12,Ponta Direita,Esquerda
Luís,Lopes,1993-04-27,Pivot,Direita
Guilherme,Mendes,1995-05-19,Ponta Direita,Direita
Guilherme,Rocha,2001-01-27,Lateral Direito,Esquerda
Tomás,Fonseca,1995-10-10,Lateral Direito,Esquerda
Gabriel,Lopes,1998-09-27,Pivot,Esquerda
Gabriel,Rodrigues,2002-11-22,Lateral Direito,Direita
Miguel,Almeida,1995-03-05,Ponta Direita,Esquerda
Diogo,Reis,2000-08-25,Central,Direita
Bruno,Marques,1996-02-26,Ponta Esquerda,Direita
Rafael,Sousa,1993-09-26,Ponta Direita,Esquerda
Tomás,Nunes,1993-04-11,Ponta Esquerda,Direita
Gonçalo,Monteiro,1990-12-03,Pivot,Esquerda
Luís,Cardoso,1997-09-14,Ponta Direita,Esquerda
Marco,Teixeira,1995-03-22,Guarda-Redes,Esquerda
Miguel,Martins,1998-10-26,Lateral Direito,Direita
Luís,Teixeira,1994-02-05,Ponta Esquerda,Direita
José,Sousa,2004-08-30,Ponta Esquerda,Esquerda
Jorge,Gomes,1999-01-18,Central,Direita
Diogo,Silva,1995-12-26,Pivot,Direita
Eduardo,Henriques,1995-03-30,Ponta Esquerda,Direita
António,Costa,1994-05-11,Central,Direita
Diogo,Fernandes,1997-06-08,Lateral Direito,Esquerda
Bruno,Sousa,1991-11-09,Pivot,Esquerda
Miguel,Marques,2000-05-19,Ponta Direita,Direita
Vasco,Oliveira,2003-09-22,Lateral Esquerdo,Esquerda
Luís,Fonseca,1994-12-15,Ponta Direita,Esquerda
Carlos,Rodrigues,2004-06-30,Pivot,Direita
Hugo,Reis,2000-06-26,Guarda-Redes,Esquerda
David,Costa,1990-11-13,Lateral Esquerdo,Direita
Tomás,Mendes,1997-04-07,Lateral Direito,Esquerda
Tomás,Fernandes,2002-11-04,Lateral Esquerdo,Esquerda
Miguel,Santos,2002-08-20,Ponta Direita,Esquerda
António,Lopes,1998-02-23,Pivot,Esquerda
Marco,Nunes,2002-06-20,Central,Direita
André,Mendes,1996-02-04,Central,Direita
Luís,Pereira,1999-03-15,Ponta Esquerda,Direita
Gabriel,Ribeiro,2000-09-14,Pivot,Direita
Rui,Rodrigues,1996-09-08,Ponta Direita,Esquerda
João,Ferreira,2005-10-19,Central,Direita
Luís,Vieira,2003-06-22,Lateral Esquerdo,Esquerda
Nuno,Fonseca,1999-09-30,Pivot,Esquerda
Hugo,Dias,1996-03-03,Ponta Esquerda,Direita
José,Dias,1996-08-23,Guarda-Redes,Esquerda
Nuno,Correia,2000-03-16,Central,Direita
Rui,Sousa,1999-11-21,Guarda-Redes,Direita
Hugo,Oliveira,1993-04-13,Lateral Direito,Direita
Gonçalo,Henriques,2002-04-14,Guarda-Redes,Direita
André,Marques,2001-07-10,Lateral Esquerdo,Direita
Ricardo,Lopes,1994-01-24,Lateral Esquerdo,Direita
Marco,Dias,1991-08-16,Guarda-Redes,Esquerda
Vasco,Henriques,2002-04-13,Lateral Direito,Direita
Pedro,Marques,1992-06-12,Lateral Direito,Esquerda
Rafael,Fonseca,1992-01-27,Ponta Direita,Esquerda
Diogo,Martins,2001-05-04,Ponta Esquerda,Esquerda
Tiago,Silva,1995-06-25,Ponta Esquerda,Direita
Carlos,Lopes,1994-03-24,Pivot,Direita
Ricardo,Costa,2001-12-19,Ponta Esquerda,Direita
Bruno,Guerreiro,1999-01-11,Ponta Esquerda,Direita
João,Reis,2003-12-14,Lateral Esquerdo,Direita
Hugo,Lopes,2002-05-14,Lateral Direito,Esquerda
Nuno,Correia,1996-11-01,Ponta Direita,Direita
Vasco,Pinto,1998-07-15,Ponta Direita,Direita
Carlos,Guerreiro,1992-04-05,Guarda-Redes,Esquerda
David,Henriques,1999-07-19,Ponta Esquerda,Esquerda
Tiago,Oliveira,2000-12-09,Ponta Direita,Direita
António,Costa,1993-07-16,Ponta Direita,Direita
Vasco,Pinto,2005-09-07,Guarda-Redes,Direita
Daniel,Marques,2004-02-06,Central,Esquerda
Rui,Costa,2000-09-17,Lateral Direito,Direita
Tomás,Guerreiro,2005-02-13,Ponta Esquerda,Direita
Francisco,Carvalho,1997-01-18,Lateral Esquerdo,Direita
Rui,Dias,1999-05-31,Pivot,Esquerda
Francisco,Fonseca,1990-10-29,Central,Esquerda
Tiago,Reis,1999-08-01,Lateral Direito,Direita
Carlos,Rocha,1990-12-27,Ponta Esquerda,Direita
Nuno,Marques,2000-05-07,Ponta Esquerda,Direita
Marco,Nunes,1998-05-20,Ponta Direita,Esquerda
Francisco,Cardoso,1992-11-14,Ponta Direita,Direita
Tomás,Pereira,2004-06-06,Lateral Direito,Direita
António,Dias,1993-10-04,Pivot,Esquerda
Rui,Rocha,1990-05-06,Guarda-Redes,Esquerda
Eduardo,Reis,2005-08-08,Pivot,Direita
Daniel,Ferreira,2003-01-06,Pivot,Direita
Bruno,Nunes,1990-05-12,Ponta Direita,Esquerda
Nuno,Carvalho,1995-01-12,Ponta Esquerda,Direita
João,Cardoso,2000-05-15,Ponta Esquerda,Direita
Jorge,Martins,1994-10-01,Central,Direita
António,Marques,1996-06-03,Lateral Esquerdo,Esquerda
Tomás,Monteiro,1991-01-31,Ponta Direita,Direita
Vasco,Pereira,1990-07-14,Central,Direita
Gabriel,Costa,2002-04-20,Guarda-Redes,Direita
António,Mendes,1994-01-04,Ponta Esquerda,Direita
Diogo,Martins,2004-02-01,Lateral Direito,Esquerda
António,Costa,2000-01-14,Guarda-Redes,Esquerda
Daniel,Rodrigues,2001-12-21,Pivot,Direita
Bruno,Martins,1993-04-09,Pivot,Direita
Tomás,Monteiro,2001-12-08,Central,Direita
Jorge,Teixeira,1993-03-10,Lateral Esquerdo,Esquerda
Marco,Almeida,2004-05-10,Central,Direita
Eduardo,Lopes,2005-03-05,Lateral Direito,Direita
André,Cardoso,1997-07-23,Lateral Esquerdo,Direita
Marco,Santos,1997-01-16,Ponta Direita,Direita
José,Dias,1996-08-22,Lateral Direito,Direita
Bruno,Fernandes,2003-01-01,Lateral Direito,Direita
Jorge,Ribeiro,2004-08-18,Lateral Direito,Esquerda
David,Dias,2005-05-16,Lateral Esquerdo,Direita
Ricardo,Reis,1990-11-23,Pivot,Direita
Manuel,Mendes,1994-08-22,Ponta Direita,Direita
Paulo,Marques,1991-12-20,Lateral Direito,Esquerda
Manuel,Vieira,1992-02-21,Central,Direita
Fernando,Carvalho,1992-05-07,Central,Esquerda
André,Marques,2004-12-13,Ponta Esquerda,Direita
Gonçalo,Reis,2003-12-26,Ponta Esquerda,Esquerda
Carlos,Ferreira,2000-12-30,Pivot,Esquerda
Guilherme,Oliveira,1994-10-19,Ponta Direita,Esquerda
Hugo,Costa,1994-11-07,Central,Esquerda
Hugo,Lopes,1990-04-20,Central,Esquerda
David,Teixeira,1995-05-17,Ponta Esquerda,Direita
Tomás,Reis,2002-12-10,Pivot,Esquerda
Tomás,Vieira,2005-02-03,Ponta Direita,Esquerda
Rui,Correia,1995-03-31,Lateral Direito,Direita
Nuno,Mendes,1990-12-22,Lateral Esquerdo,Esquerda
José,Monteiro,1992-10-06,Lateral Direito,Direita
Guilherme,Dias,1995-06-15,Ponta Esquerda,Esquerda
Daniel,Rodrigues,1998-01-09,Lateral Direito,Esquerda
Carlos,Mendes,1999-11-22,Ponta Esquerda,Direita
Luís,Silva,1994-06-23,Lateral Esquerdo,Direita
Paulo,Almeida,1996-03-04,Ponta Esquerda,Direita
Rui,Sousa,1999-06-26,Ponta Direita,Esquerda
Hugo,Oliveira,2005-05-22,Ponta Esquerda,Direita
Rafael,Oliveira,1998-09-06,Pivot,Direita
Hugo,Guerreiro,1999-01-01,Lateral Esquerdo,Esquerda
Jorge,Carvalho,1993-09-28,Ponta Direita,Direita
Miguel,Dias,2005-12-04,Ponta Esquerda,Direita
Rui,Gomes,1997-08-30,Central,Esquerda
David,Henriques,1995-08-02,Central,Esquerda
Tiago,Vieira,2000-11-05,Guarda-Redes,Esquerda
Guilherme,Santos,1992-08-29,Lateral Esquerdo,Direita
Guilherme,Ferreira,2005-04-03,Lateral Direito,Esquerda
Tomás,Fernandes,1992-04-29,Ponta Esquerda,Direita
Rui,Teixeira,2004-03-23,Central,Direita
Nuno,Rodrigues,2002-05-23,Lateral Esquerdo,Esquerda
Rui,Fernandes,1993-11-27,Guarda-Redes,Esquerda
Gonçalo,Lopes,1992-05-21,Lateral Esquerdo,Esquerda
Marco,Cardoso,1997-02-11,Ponta Direita,Direita
António,Correia,1990-11-16,Lateral Esquerdo,Esquerda
Manuel,Costa,2005-07-18,Lateral Esquerdo,Direita
Pedro,Almeida,1994-01-18,Lateral Esquerdo,Esquerda
Ricardo,Gomes,1991-02-01,Ponta Direita,Direita
Manuel,Pinto,1991-02-12,Lateral Esquerdo,Direita
Tomás,Pinto,2001-09-26,Lateral Direito,Direita
Gabriel,Pereira,1993-12-24,Ponta Esquerda,Direita
Guilherme,Monteiro,2003-09-04,Pivot,Direita
Hugo,Vieira,1997-12-30,Guarda-Redes,Direita
Daniel,Silva,2005-07-12,Ponta Esquerda,Esquerda
Tomás,Silva,1996-03-19,Pivot,Esquerda
António,Rocha,1993-04-22,Ponta Direita,Direita
Marco,Guerreiro,1993-06-22,Guarda-Redes,Direita
João,Monteiro,1995-09-04,Central,Esquerda
David,Monteiro,1994-01-16,Central,Direita
Luís,Fernandes,2004-12-18,Guarda-Redes,Esquerda
Guilherme,Mendes,2003-11-02,Guarda-Redes,Direita
Miguel,Nunes,1999-08-21,Lateral Direito,Esquerda
Eduardo,Mendes,1991-01-15,Central,Esquerda
Ricardo,Fernandes,2002-07-19,Ponta Esquerda,Direita
Luís,Sousa,1994-04-28,Central,Direita
Bruno,Ferreira,2003-09-07,Ponta Direita,Direita
Marco,Guerreiro,1995-11-10,Lateral Direito,Direita
Miguel,Marques,2002-09-11,Ponta Esquerda,Esquerda
Francisco,Carvalho,2000-08-07,Guarda-Redes,Esquerda
Gabriel,Ribeiro,2000-03-12,Ponta Direita,Esquerda
António,Gomes,1993-08-09,Ponta Direita,Direita
Diogo,Almeida,1997-08-11,Pivot,Esquerda
David,Vieira,1992-10-14,Lateral Esquerdo,Direita
Diogo,Pereira,1995-02-16,Ponta Esquerda,Direita
Jorge,Teixeira,2001-11-12,Lateral Direito,Direita
Pedro,Dias,2000-10-14,Ponta Direita,Direita
Vasco,Fonseca,2005-02-28,Lateral Direito,Direita
Gonçalo,Pinto,1993-09-10,Lateral Direito,Direita
Miguel,Pereira,1993-09-12,Pivot,Esquerda
Carlos,Santos,2004-04-15,Lateral Direito,Direita
Rui,Rocha,1991-01-05,Central,Direita
Gonçalo,Rocha,2005-12-08,Ponta Esquerda,Esquerda
Bruno,Fonseca,1994-12-23,Guarda-Redes,Esquerda
Ricardo,Pereira,2001-04-24,Lateral Esquerdo,Esquerda
Gabriel,Oliveira,1996-08-26,Lateral Esquerdo,Esquerda
Tomás,Martins,2001-11-20,Guarda-Redes,Direita
Diogo,Reis,1995-09-24,Lateral Direito,Direita
Rafael,Pereira,1990-09-28,Central,Esquerda
António,Reis,2000-10-03,Pivot,Esquerda
Fernando,Dias,1997-01-09,Pivot,Esquerda
José,Reis,1991-04-16,Guarda-Redes,Direita
Guilherme,Mendes,1992-01-12,Guarda-Redes,Esquerda
Rafael,Henriques,2004-01-13,Lateral Esquerdo,Esquerda
Eduardo,Almeida,2002-09-26,Central,Esquerda
Rafael,Teixeira,1990-08-30,Lateral Direito,Direita
Pedro,Fonseca,2001-12-04,Guarda-Redes,Direita
José,Pinto,2001-05-07,Central,Esquerda
Hugo,Marques,1995-09-23,Guarda-Redes,Direita
Paulo,Lopes,2005-01-06,Ponta Direita,Direita
Rui,Carvalho,2004-08-07,Guarda-Redes,Esquerda
Gonçalo,Lopes,2005-10-29,Lateral Esquerdo,Direita
Francisco,Lopes,2005-01-04,Lateral Direito,Direita
Jorge,Rocha,2005-11-09,Pivot,Esquerda
Gonçalo,Rodrigues,1991-11-09,Ponta Direita,Esquerda
Ricardo,Teixeira,2003-11-13,Lateral Esquerdo,Direita
Ricardo,Rodrigues,1999-12-26,Pivot,Direita
Gonçalo,Nunes,1997-04-04,Pivot,Direita
Rafael,Guerreiro,2005-03-07,Guarda-Redes,Esquerda
Bruno,Cardoso,1997-05-03,Pivot,Esquerda
André,Ribeiro,1996-01-23,Central,Direita
Fernando,Monteiro,1994-04-10,Ponta Esquerda,Direita
Tomás,Guerreiro,1992-05-30,Guarda-Redes,Direita
Fernando,Correia,1990-05-29,Lateral Esquerdo,Esquerda
Vasco,Cardoso,1995-05-29,Ponta Direita,Esquerda
Guilherme,Guerreiro,1998-09-19,Lateral Esquerdo,Esquerda
Gonçalo,Dias,2004-10-12,Central,Direita
Tiago,Fonseca,2002-11-18,Guarda-Redes,Esquerda
Luís,Martins,1990-05-21,Central,Direita
Tomás,Nunes,1995-04-11,Ponta Esquerda,Direita
Francisco,Cardoso,1994-11-22,Lateral Direito,Esquerda
Hugo,Mendes,2003-04-23,Lateral Direito,Esquerda
Guilherme,Ribeiro,1999-04-15,Ponta Direita,Direita
Paulo,Almeida,2002-01-28,Lateral Esquerdo,Esquerda
Fernando,Rocha,2001-02-20,Pivot,Direita
Guilherme,Guerreiro,1993-11-22,Guarda-Redes,Direita
Francisco,Henriques,1998-09-30,Ponta Direita,Direita
Rafael,Gomes,2003-05-28,Lateral Esquerdo,Esquerda
Tomás,Monteiro,1990-06-04,Lateral Esquerdo,Direita
José,Carvalho,2005-12-14,Lateral Direito,Esquerda
Tomás,Santos,2002-12-18,Central,Esquerda
Diogo,Cardoso,1992-03-15,Lateral Direito,Esquerda
Marco,Reis,2000-01-13,Ponta Esquerda,Direita
André,Marques,2001-10-09,Central,Direita
Ricardo,Lopes,1996-05-31,Lateral Direito,Esquerda
Guilherme,Marques,2000-08-02,Central,Esquerda
Manuel,Gomes,1991-12-12,Ponta Direita,Direita
Carlos,Pereira,1998-12-06,Pivot,Esquerda
Gabriel,Rocha,2000-04-27,Central,Direita
Rafael,Monteiro,2003-09-03,Central,Esquerda
Luís,Oliveira,1992-09-21,Ponta Direita,Esquerda
Bruno,Ferreira,1997-05-08,Lateral Esquerdo,Esquerda
João,Henriques,1999-03-03,Pivot,Esquerda
Francisco,Pereira,1997-08-21,Ponta Esquerda,Esquerda
Bruno,Teixeira,2005-01-16,Lateral Esquerdo,Esquerda
Gabriel,Cardoso,1995-11-28,Ponta Esquerda,Esquerda
Ricardo,Santos,1999-02-04,Lateral Esquerdo,Esquerda
Marco,Dias,2001-09-17,Lateral Direito,Direita
Diogo,Pinto,1999-04-30,Central,Esquerda
Miguel,Reis,2001-08-30,Ponta Direita,Direita
Francisco,Dias,2005-04-07,Ponta Esquerda,Esquerda
Eduardo,Mendes,1991-09-09,Central,Esquerda
Tomás,Costa,2001-01-29,Central,Direita
Jorge,Mendes,1990-06-03,Ponta Direita,Direita
Vasco,Nunes,1994-09-18,Pivot,Direita
Carlos,Ribeiro,1997-02-27,Ponta Direita,Esquerda
Marco,Correia,1998-10-26,Pivot,Esquerda
Guilherme,Teixeira,1996-09-27,Lateral Direito,Esquerda
Hugo,Martins,2001-04-05,Pivot,Esquerda
Tiago,Sousa,2001-10-18,Pivot,Esquerda
Marco,Martins,1990-01-03,Ponta Direita,Esquerda
Luís,Nunes,1995-03-19,Guarda-Redes,Direita
Pedro,Silva,2000-02-05,Central,Direita
Fernando,Lopes,1998-05-05,Lateral Direito,Direita
Fernando,Henriques,1994-12-26,Guarda-Redes,Esquerda
Miguel,Costa,2003-10-24,Guarda-Redes,Esquerda
João,Ribeiro,1998-12-12,Guarda-Redes,Direita
Gabriel,Mendes,1998-01-18,Lateral Esquerdo,Esquerda
Diogo,Nunes,1996-07-30,Ponta Esquerda,Direita
Diogo,Henriques,2005-06-03,Pivot,Esquerda
Manuel,Pereira,2001-02-13,Guarda-Redes,Direita
Manuel,Almeida,1991-05-01,Lateral Esquerdo,Direita
Tiago,Marques,1996-07-23,Lateral Esquerdo,Esquerda
Nuno,Lopes,1990-09-04,Ponta Direita,Esquerda
André,Martins,1992-01-25,Ponta Esquerda,Direita
Rui,Lopes,1990-12-13,Pivot,Direita
Luís,Teixeira,1992-01-05,Central,Direita
Francisco,Oliveira,2002-08-22,Ponta Direita,Esquerda
Marco,Rodrigues,1998-12-28,Guarda-Redes,Direita
Hugo,Fonseca,1996-04-21,Lateral Direito,Direita
Diogo,Pereira,2002-01-12,Central,Direita
Gonçalo,Oliveira,2001-03-26,Pivot,Esquerda
Fernando,Ferreira,1991-07-06,Central,Esquerda
Guilherme,Rocha,1995-05-30,Ponta Esquerda,Direita
David,Teixeira,1990-12-20,Ponta Direita,Esquerda
Nuno,Martins,1994-03-18,Central,Direita
Francisco,Costa,1992-09-12,Lateral Direito,Esquerda
Hugo,Costa,2000-04-16,Lateral Esquerdo,Esquerda
Nuno,Carvalho,1995-09-21,Lateral Direito,Direita
António,Cardoso,1999-03-25,Guarda-Redes,Esquerda
José,Vieira,1990-03-14,Central,Esquerda
Paulo,Fonseca,1999-07-12,Guarda-Redes,Esquerda
Carlos,Guerreiro,2003-08-11,Ponta Esquerda,Direita
António,Monteiro,2005-05-09,Pivot,Direita
António,Santos,1997-03-27,Central,Direita
Diogo,Gomes,2001-11-09,Lateral Esquerdo,Direita
José,Pinto,1990-09-24,Central,Esquerda
David,Cardoso,1993-01-18,Pivot,Esquerda
António,Santos,1993-12-27,Lateral Esquerdo,Esquerda
Miguel,Pinto,2002-11-18,Central,Esquerda
Jorge,Rocha,1990-11-20,Guarda-Redes,Direita
António,Lopes,1997-05-30,Pivot,Esquerda
Bruno,Marques,1999-07-31,Pivot,Direita
Gonçalo,Pinto,2003-09-07,Pivot,Direita
Rui,Mendes,1996-08-06,Ponta Esquerda,Direita
Diogo,Monteiro,2001-07-08,Central,Direita
Diogo,Henriques,2005-07-11,Ponta Direita,Direita
David,Almeida,2002-06-10,Ponta Direita,Direita
David,Sousa,2004-03-16,Pivot,Esquerda
Luís,Carvalho,2000-01-15,Ponta Direita,Direita
Tomás,Carvalho,1994-04-16,Guarda-Redes,Esquerda
Paulo,Lopes,1992-05-22,Guarda-Redes,Esquerda
Paulo,Mendes,2000-04-18,Pivot,Direita
Nuno,Ribeiro,2001-09-11,Pivot,Esquerda
Fernando,Correia,1997-12-10,Pivot,Direita
Bruno,Pereira,1998-06-08,Guarda-Redes,Esquerda
Tomás,Silva,2005-06-17,Pivot,Esquerda
Nuno,Silva,1997-05-05,Lateral Direito,Esquerda
António,Nunes,2001-04-17,Pivot,Esquerda
Fernando,Gomes,1991-08-08,Ponta Esquerda,Direita
Luís,Ribeiro,1995-07-25,Ponta Direita,Direita
Francisco,Correia,1998-05-25,Pivot,Direita
Fernando,Nunes,1998-01-22,Lateral Esquerdo,Esquerda
Nuno,Correia,2001-04-08,Pivot,Direita
Eduardo,Ferreira,1990-01-19,Ponta Direita,Direita
David,Carvalho,2002-12-25,Ponta Direita,Direita
Tiago,Gomes,1994-04-10,Lateral Esquerdo,Esquerda
José,Henriques,2002-05-17,Ponta Esquerda,Direita
Tiago,Lopes,1990-07-22,Pivot,Direita
Pedro,Gomes,1991-06-16,Guarda-Redes,Esquerda
Bruno,Carvalho,1996-01-04,Pivot,Esquerda
Daniel,Reis,1991-08-10,Ponta Esquerda,Esquerda
Miguel,Sousa,1998-09-03,Central,Direita
Diogo,Marques,2002-05-18,Ponta Esquerda,Esquerda
Carlos,Teixeira,2002-12-05,Guarda-Redes,Esquerda
David,Fonseca,2001-10-30,Pivot,Esquerda
Daniel,Correia,1998-10-31,Lateral Direito,Direita
José,Teixeira,2002-02-22,Ponta Direita,Esquerda
André,Martins,1996-10-31,Ponta Esquerda,Esquerda
Bruno,Fernandes,1996-12-13,Ponta Esquerda,Esquerda
André,Ribeiro,1997-12-19,Guarda-Redes,Direita
Miguel,Pinto,2001-12-10,Ponta Direita,Direita
Manuel,Fonseca,2000-12-14,Lateral Direito,Direita
Pedro,Henriques,2002-03-18,Ponta Esquerda,Esquerda
João,Reis,1994-05-30,Ponta Esquerda,Esquerda
Manuel,Gomes,2000-11-06,Lateral Esquerdo,Esquerda
Guilherme,Gomes,1991-11-24,Ponta Direita,Direita
Tomás,Almeida,1990-09-22,Ponta Direita,Esquerda
Fernando,Teixeira,2000-03-15,Lateral Direito,Direita
José,Ribeiro,2004-08-16,Lateral Direito,Direita
Nuno,Pereira,2002-02-14,Ponta Esquerda,Esquerda
Tomás,Nunes,1993-03-11,Pivot,Esquerda
Carlos,Silva,1990-07-29,Ponta Esquerda,Direita
Marco,Gomes,1999-02-13,Guarda-Redes,Esquerda
Gonçalo,Rodrigues,1996-03-23,Ponta Direita,Esquerda
Daniel,Ribeiro,1990-07-20,Ponta Esquerda,Direita
Rafael,Lopes,2001-12-09,Lateral Direito,Direita
André,Reis,1996-12-26,Guarda-Redes,Esquerda
Paulo,Fernandes,2003-04-28,Central,Esquerda
Rui,Marques,1999-05-23,Ponta Esquerda,Esquerda
Hugo,Fonseca,2005-10-05,Guarda-Redes,Direita
Nuno,Sousa,2000-10-15,Ponta Esquerda,Esquerda
Miguel,Gomes,1992-09-11,Pivot,Direita
Rafael,Martins,1997-01-20,Pivot,Direita
Diogo,Carvalho,1994-07-06,Lateral Esquerdo,Direita
Nuno,Santos,2000-05-20,Central,Esquerda
David,Costa,2001-11-19,Ponta Direita,Esquerda
Bruno,Marques,1998-04-20,Central,Esquerda
Francisco,Nunes,1992-12-17,Lateral Esquerdo,Direita
Carlos,Monteiro,1994-05-14,Lateral Esquerdo,Esquerda
Rui,Rodrigues,1999-01-20,Lateral Direito,Esquerda
Gabriel,Rocha,1996-06-03,Central,Direita
José,Ferreira,1993-04-26,Ponta Direita,Esquerda
Tiago,Guerreiro,2005-10-14,Ponta Direita,Esquerda
Eduardo,Reis,1992-05-09,Ponta Direita,Direita
Tomás,Marques,1994-09-14,Guarda-Redes,Direita
André,Dias,2005-09-08,Lateral Direito,Esquerda
Gonçalo,Teixeira,1994-02-20,Ponta Esquerda,Esquerda
Rui,Teixeira,1997-09-25,Pivot,Esquerda
Rui,Fonseca,1994-09-10,Guarda-Redes,Esquerda
Carlos,Teixeira,1994-12-30,Lateral Esquerdo,Esquerda
Eduardo,Santos,2005-02-17,Lateral Esquerdo,Direita
Diogo,Costa,2005-05-29,Lateral Esquerdo,Esquerda
Guilherme,Teixeira,1996-02-29,Pivot,Esquerda
Tomás,Rodrigues,2000-03-03,Lateral Esquerdo,Esquerda
Pedro,Pereira,1995-06-07,Guarda-Redes,Esquerda
Hugo,Rodrigues,1990-07-23,Lateral Esquerdo,Direita
Manuel,Gomes,2002-11-10,Central,Direita
Vasco,Martins,1990-06-26,Ponta Esquerda,Direita
Nuno,Nunes,1990-10-31,Ponta Esquerda,Direita
Tiago,Pereira,1998-01-22,Ponta Esquerda,Esquerda
Nuno,Marques,2001-07-23,Central,Direita
Vasco,Nunes,2001-10-30,Ponta Esquerda,Esquerda
Fernando,Cardoso,1995-08-26,Pivot,Direita
Luís,Carvalho,2005-10-18,Lateral Esquerdo,Direita
Miguel,Cardoso,1991-12-27,Central,Esquerda
Daniel,Costa,2001-07-31,Lateral Direito,Direita
David,Ferreira,1998-12-15,Ponta Direita,Esquerda
João,Ribeiro,1992-12-13,Lateral Esquerdo,Esquerda
Ricardo,Monteiro,2004-07-22,Ponta Direita,Direita
Marco,Monteiro,1996-12-10,Lateral Direito,Direita
Miguel,Pereira,2004-04-01,Guarda-Redes,Esquerda
Rafael,Fonseca,2004-02-08,Central,Direita
Hugo,Cardoso,2003-08-22,Lateral Direito,Esquerda
Miguel,Santos,1995-12-29,Ponta Esquerda,Esquerda
Carlos,Marques,2005-10-24,Pivot,Esquerda
Tiago,Nunes,1997-06-09,Pivot,Direita
Vasco,Fonseca,1998-09-30,Central,Direita
Rui,Fonseca,2002-09-02,Ponta Esquerda,Esquerda
Pedro,Fonseca,2001-08-19,Ponta Direita,Direita
José,Silva,2001-03-26,Pivot,Esquerda
José,Correia,1995-10-09,Ponta Direita,Esquerda
Jorge,Rodrigues,2001-04-15,Ponta Esquerda,Direita
Luís,Sousa,2002-03-16,Central,Direita
José,Reis,1991-10-11,Guarda-Redes,Esquerda
Manuel,Sousa,1992-02-17,Pivot,Esquerda
Carlos,Ribeiro,2002-10-07,Lateral Direito,Esquerda
Luís,Ferreira,1999-12-16,Lateral Direito,Direita
Paulo,Guerreiro,1995-05-20,Ponta Direita,Direita
Bruno,Fernandes,1991-03-13,Central,Esquerda
Francisco,Cardoso,1999-05-30,Pivot,Esquerda
Marco,Teixeira,1996-02-19,Central,Esquerda
Carlos,Mendes,2004-11-13,Lateral Direito,Direita
Carlos,Guerreiro,1998-08-08,Guarda-Redes,Esquerda
David,Carvalho,1994-06-19,Central,Direita
Gabriel,Ribeiro,1990-10-02,Ponta Esquerda,Esquerda
